"Qty";"Value";"Device";"Package";"Parts";"Description";"PARTNO";
"4";"0R";"R-0402";"R0402";"R30, R31, R47, R53";"";"";
"1";"100k_1%";"R-0402";"R0402";"R58";"";"";
"6";"100nF";"C-0402";"C0402";"C18, C19, C23, C24, C25, C40";"Ceramic Capacitors";"";
"3";"10k";"R-0402";"R0402";"R32, R51, R52";"";"";
"4";"10uF";"C-0603";"C0603";"C35, C36, C37, C38";"Ceramic Capacitors";"";
"3";"12pF";"C-0402";"C0402";"C16, C17, C41";"Ceramic Capacitors";"";
"4";"1M";"R-0402";"R0402";"R39, R40, R41, R49";"";"";
"1";"1M_1%";"R-0402";"R0402";"R57";"";"";
"3";"1N4148WT";"D'0603'";"SOD523";"D2, D7, D8";"";"";
"9";"1k";"R-0402";"R0402";"R11, R12, R15, R18, R26, R33, R34, R35, R36";"";"";
"2";"1nF";"C-0402";"C0402";"C10, C14";"Ceramic Capacitors";"";
"11";"1uF";"C-0402";"C0402";"C9, C15, C20, C21, C22, C26, C27, C29, C30, C31, C32";"Ceramic Capacitors";"";
"1";"2.0 SMD JST ";"JST-2P-SMD'2.0'";"HW2-SMD-2.0-90D";"BAT";"2P-SMD-1.0-90D:320110054;2P-SMD-2.0-90D:320110026";"";
"1";"2.2uH";"L'0805'";"L0805";"L3";"";"";
"2";"22R";"R-0402";"R0402";"R42, R43";"";"";
"1";"22uF";"C-0603";"C0603";"C28";"Ceramic Capacitors";"";
"1";"22uF/10v";"CAP-AVX-A";"AVX-A";"C39";"Electrolytic Capacitors,Tantalum Capacitors and Super Capacitors";"";
"2";"2k";"R-0402";"R0402";"R54, R55";"";"";
"1";"32.768kHz";"CRYSTAL-2P-3215";"X2-SMD-3.2X1.5X0.55MM";"X1";"";"";
"1";"321050326/16cm Wire Antenna";"HEADER-1P-35";"1P-65/35MIL";"ANT";"";"";
"2";"4.7k";"R-0402";"R0402";"R37, R38";"";"";
"3";"47pF";"C-0402";"C0402";"C11, C12, C13";"Ceramic Capacitors";"";
"1";"500mA";"R-0805";"R0805";"F1";"";"";
"1";"AS179_92LF";"PE4259";"SC-70";"U3";"";"";
"1";"ATSAMD21G18-QFN48";"ATSAMD21G18-QFN48";"QFN48-7X7";"U5";"Atmel D21 32bit ARM Cortex-M0  microcontroller - 48 PIN TQFP";"";
"1";"BUTTON / 3100060P1";"BUTTON-2P-REINFORCE-3100060P1";"4P-SMD-7.0X3.5X3.5H-90D";"RST";"TS-1188E";"";
"1";"BUTTON / 311020045";"BUTTON-4P-4.5X3.2";"SW4P-SMD-4.5X3.2X2.5MM";"DFU";"SW4-6.0X6.0X5.0MM:311020024;SW4-8.0X8.0X9.0MM:311020028;SW4-SMD-6.0X6.0X5.0MM:311020004;SW4-SMD-3.35X3.35X1.5MM:311020030;SW4-SMD-5.2X5.2X2.5MM:311020046";"";
"2";"CJ2101";"MOSFET-P-SOT323";"SOT323";"Q2, Q4";"";"";
"2";"CJ2102";"MOSFET-N'SI1304BDL'";"SOT-323";"Q1, Q3";"";"";
"2";"DF2S6.8FS";"D-ESD-2P'DF2S6.8FS'";"SOD-923";"D3, D4";"SOD-923:304060009;SOD-123:304060001";"";
"2";"DNP";"C-0402";"C0402";"C33, C34";"Ceramic Capacitors";"";
"2";"DNP";"D-ESD-2P'DF2S6.8FS'";"SOD-923";"D5, D6";"SOD-923:304060009;SOD-123:304060001";"";
"1";"DNP";"LED'0603'";"LED-0603";"LED1";"";"";
"1";"DNP";"PAD-TEST-POINT'4545'";"TP_4545";"VBAT";"";"DNP";
"11";"DNP";"R-0402";"R0402";"R20, R22, R27, R28, R29, R44, R45, R46, R48, R50, R56";"";"";
"1";"DNP";"R-0805";"R0805";"F2";"";"";
"1";"DNP";"USB-MINIUSB-5P-MICRO";"MICRO-USB";"DEBUG";"";"";
"1";"ETA6003";"PMIC-ETA6003";"QFN16G-0.5-3X3MM";"U10";"2.5A,3MHZ Switching Charger with Dynamic Power Path Management";"";
"2";"GREEN";"LED'0603'";"LED-0603";"L, PWR";"";"";
"2";"GROVE-DIP";"TWIG-4P-2.0-2.0";"4P-2.0";"I2C, I2C1";"";"";
"3";"RED";"LED'0603'";"LED-0603";"CHG, RX, TX";"";"";
"1";"RHF76-052AM";"MODULE-LORAWAN-RHF76-052";"MODULE33P-SMD-2.0-28X23X2.9MM";"U4";"";"";
"1";"U.FL";"ANTENNA-U-FL";"U-FL3P-SMD-2.6X2.6X1.0MM";"ANT2";"320110048";"";
"1";"USB / 320010000";"USB-MINIUSB-5P-MICRO";"MICRO-USB";"J4";"";"";
"3";"XC6206MR-3.3V";"XC6206MR";"SOT23";"U6, U7, U8";"LOW ESR Cap.Compatible Positive Voltage Regulators";"";
"1";"YELLOW";"LED'0603'";"LED-0603";"T/R";"";"";
